空气阻力系数k = f / v^2 = 0.800000, 初速(m/s)(向上为正) = -100.000000, 物体质量(kg) = 1.000000, 计算时间精度(ms) = 1.000000, 总计算时间(ms) = 10000.000000
时间(ms),速度(m/s),加速度(m/s^2),位移(m),总位移(m),冲量(Ns),做功(j)
1190.000000,-3.508013,-0.045179,-0.003508,-7.445783,-96.491987,0.000158
1195.000000,-3.507791,-0.043925,-0.003508,-7.463323,-96.492209,0.000154
1200.000000,-3.507575,-0.042706,-0.003508,-7.480861,-96.492425,0.000150
1205.000000,-3.507365,-0.041521,-0.003507,-7.498399,-96.492635,0.000146
1210.000000,-3.507161,-0.040369,-0.003507,-7.515935,-96.492839,0.000142
1215.000000,-3.506963,-0.039249,-0.003507,-7.533470,-96.493037,0.000138
1220.000000,-3.506770,-0.038160,-0.003507,-7.551005,-96.493230,0.000134
1225.000000,-3.506582,-0.037102,-0.003507,-7.568538,-96.493418,0.000130
1230.000000,-3.506400,-0.036073,-0.003506,-7.586070,-96.493600,0.000126
1235.000000,-3.506222,-0.035072,-0.003506,-7.603602,-96.493778,0.000123
1240.000000,-3.506050,-0.034099,-0.003506,-7.621133,-96.493950,0.000120
1245.000000,-3.505882,-0.033153,-0.003506,-7.638662,-96.494118,0.000116
1250.000000,-3.505719,-0.032234,-0.003506,-7.656191,-96.494281,0.000113
1255.000000,-3.505561,-0.031340,-0.003506,-7.673720,-96.494439,0.000110
1260.000000,-3.505407,-0.030471,-0.003505,-7.691247,-96.494593,0.000107
1265.000000,-3.505257,-0.029626,-0.003505,-7.708774,-96.494743,0.000104
1270.000000,-3.505111,-0.028804,-0.003505,-7.726300,-96.494889,0.000101
1275.000000,-3.504969,-0.028006,-0.003505,-7.743825,-96.495031,0.000098
1280.000000,-3.504832,-0.027229,-0.003505,-7.761349,-96.495168,0.000095
1285.000000,-3.504698,-0.026474,-0.003505,-7.778873,-96.495302,0.000093
1290.000000,-3.504568,-0.025740,-0.003505,-7.796396,-96.495432,0.000090
1295.000000,-3.504441,-0.025027,-0.003504,-7.813919,-96.495559,0.000088
1300.000000,-3.504318,-0.024333,-0.003504,-7.831441,-96.495682,0.000085
1305.000000,-3.504199,-0.023658,-0.003504,-7.848962,-96.495801,0.000083
1310.000000,-3.504082,-0.023003,-0.003504,-7.866483,-96.495918,0.000081
1315.000000,-3.503969,-0.022365,-0.003504,-7.884003,-96.496031,0.000078
1320.000000,-3.503859,-0.021745,-0.003504,-7.901522,-96.496141,0.000076
1325.000000,-3.503752,-0.021142,-0.003504,-7.919041,-96.496248,0.000074
1330.000000,-3.503648,-0.020556,-0.003504,-7.936560,-96.496352,0.000072
1335.000000,-3.503547,-0.019987,-0.003504,-7.954078,-96.496453,0.000070
1340.000000,-3.503449,-0.019433,-0.003503,-7.971595,-96.496551,0.000068
1345.000000,-3.503353,-0.018894,-0.003503,-7.989112,-96.496647,0.000066
1350.000000,-3.503261,-0.018370,-0.003503,-8.006629,-96.496739,0.000064
1355.000000,-3.503170,-0.017861,-0.003503,-8.024145,-96.496830,0.000063
1360.000000,-3.503082,-0.017366,-0.003503,-8.041661,-96.496918,0.000061
1365.000000,-3.502997,-0.016885,-0.003503,-8.059176,-96.497003,0.000059
1370.000000,-3.502914,-0.016417,-0.003503,-8.076691,-96.497086,0.000058
1375.000000,-3.502833,-0.015962,-0.003503,-8.094205,-96.497167,0.000056
1380.000000,-3.502755,-0.015520,-0.003503,-8.111719,-96.497245,0.000054
1385.000000,-3.502678,-0.015090,-0.003503,-8.129233,-96.497322,0.000053
1390.000000,-3.502604,-0.014672,-0.003503,-8.146746,-96.497396,0.000051
1395.000000,-3.502532,-0.014265,-0.003503,-8.164259,-96.497468,0.000050
1400.000000,-3.502462,-0.013870,-0.003502,-8.181771,-96.497538,0.000049
1405.000000,-3.502394,-0.013486,-0.003502,-8.199283,-96.497606,0.000047
1410.000000,-3.502328,-0.013112,-0.003502,-8.216795,-96.497672,0.000046
1415.000000,-3.502263,-0.012749,-0.003502,-8.234307,-96.497737,0.000045
1420.000000,-3.502200,-0.012395,-0.003502,-8.251818,-96.497800,0.000043
1425.000000,-3.502139,-0.012052,-0.003502,-8.269329,-96.497861,0.000042
1430.000000,-3.502080,-0.011718,-0.003502,-8.286839,-96.497920,0.000041
1435.000000,-3.502023,-0.011394,-0.003502,-8.304349,-96.497977,0.000040
